Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2020-06-23 11:58:22,"Leg Day",34m,"Box Jump",1,0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Box Jump",2,0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Box Jump",3,0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Deadlift (Band)",1,25.0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Deadlift (Band)",2,25.0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Deadlift (Band)",3,25.0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Jump Squat",1,0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Jump Squat",2,0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Jump Squat",3,0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Lunge (Dumbbell)",1,10.0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Lunge (Dumbbell)",2,10.0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Lunge (Bodyweight)",1,0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Lunge (Bodyweight)",2,0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Lunge (Bodyweight)",3,0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Mountain Climber",1,0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Mountain Climber",2,0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Mountain Climber",3,0,15.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Squat (Dumbbell)",1,25.0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Squat (Dumbbell)",2,25.0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Squat (Dumbbell)",3,25.0,10.0,0,0.0,
2020-06-23 11:58:22,"Leg Day",34m,"Step-up",1,0,10.0,0,0.0,
